Species,Light_ISF,Light_Cat,Soil_Conspecific,AMF,Phenolics,Lignin,NSC,Event,Harvest,Alive
Quercus rubra,0.082,Med,Heterospecific,14,2.53,25.88,10.96,0,X,NA
Quercus alba,0.095,Med,Heterospecific,15,4.77,26.11,14.49,0,X,NA
Acer saccharum,0.095,Med,Sterilized,4,0.09,11.91,12.4,0,X,NA
Quercus alba,0.087,Med,Conspecific,20,5.16,23.41,16.57,0,X,NA
Acer saccharum,0.107,Med,Sterilized,7.86,0.06,12.75,12.25,1,NA,NA
Quercus alba,0.095,Med,Conspecific,8,3.4,24.4,11.83,0,X,NA
Quercus alba,0.087,Med,Heterospecific,14,5.04,21.35,18.15,0,X,NA
Prunus serotina,0.082,Med,Sterilized,6.98,0.29,7.23,11.54,0,X,NA
Quercus rubra,0.082,Med,Sterilized,1,3.38,22.83,16.41,0,X,NA
Quercus rubra,0.107,Med,Heterospecific,20.34,3.54,26.47,14.47,1,NA,NA
Quercus rubra,0.107,Med,Heterospecific,14.3,3.69,19.45,19.79,1,NA,NA
Quercus rubra,0.1,Med,Heterospecific,20.11,3.52,26.8,14.56,0,NA,X
Quercus rubra,0.087,Med,Conspecific,15.64,3.63,25.82,14.81,1,NA,NA
Quercus alba,0.1,Med,Heterospecific,12.86,4.67,17.64,23.98,0,NA,X
Prunus serotina,0.082,Med,Conspecific,30.68,0.38,9.31,11.9,1,NA,NA
Quercus rubra,0.087,Med,Heterospecific,25,3.83,20.9,18.1,0,X,NA
Quercus alba,0.107,Med,Sterilized,11.59,3.73,21.08,17.84,0,NA,X
Quercus alba,0.098,Med,Heterospecific,22.03,5.01,18.79,22.71,0,NA,X
Acer saccharum,0.083,Med,Heterospecific,14.7,-0.22,13.7,12.02,1,NA,NA
Prunus serotina,0.083,Med,Sterilized,10.01,0.08,7.38,11.59,1,NA,NA
Quercus alba,0.083,Med,Heterospecific,22.69,5.07,20.06,20.32,1,NA,NA
Quercus rubra,0.087,Med,Conspecific,14,3.42,24.75,14.66,0,X,NA
Acer saccharum,0.082,Med,Heterospecific,14.34,0.04,13.87,12.07,1,NA,NA
Quercus alba,0.087,Med,Heterospecific,20,5.34,20.57,19.41,0,X,NA
Quercus rubra,0.087,Med,Heterospecific,18,2.59,27.62,11.09,0,X,NA
Acer saccharum,0.097,Med,Sterilized,6.92,0.08,12.49,12.31,1,NA,NA
Prunus serotina,0.087,Med,Sterilized,21,0.27,10.36,16.74,0,X,NA
Acer saccharum,0.082,Med,Heterospecific,15,-0.4,13.33,13.68,0,X,NA
Quercus rubra,0.087,Med,Heterospecific,22.29,3.35,24.9,14.95,1,NA,NA
Quercus rubra,0.083,Med,Sterilized,4.89,3.39,24.95,14.51,1,NA,NA
Quercus alba,0.087,Med,Sterilized,2,3.21,19.19,19.05,0,X,NA
Quercus alba,0.082,Med,Heterospecific,16,3.82,18.49,20.93,0,X,NA
Acer saccharum,0.087,Med,Heterospecific,14.72,-0.08,13.88,12.21,1,NA,NA
Quercus rubra,0.082,Med,Conspecific,22,2.65,26.05,11.46,0,X,NA
Quercus alba,0.087,Med,Heterospecific,12,5.34,20.74,19.02,0,X,NA
Acer saccharum,0.082,Med,Heterospecific,19.14,-0.09,13.75,12.02,1,NA,NA
Acer saccharum,0.087,Med,Conspecific,16,0.61,13.34,12.58,0,X,NA
Prunus serotina,0.078,Med,Sterilized,2,0.17,9.97,14.83,0,X,NA
Quercus rubra,0.078,Med,Heterospecific,31,2.46,27.08,9.94,0,X,NA
Quercus alba,0.097,Med,Heterospecific,15.71,4.24,19,23.37,0,NA,X
Quercus alba,0.097,Med,Heterospecific,27.93,4.97,19.41,20.57,0,NA,X
Acer saccharum,0.079,Med,Heterospecific,14.89,-0.03,14.04,12.55,1,NA,NA
Quercus rubra,0.097,Med,Sterilized,8.78,3.5,24.34,15.47,1,NA,NA
Quercus rubra,0.097,Med,Heterospecific,22.17,3.55,26.7,14.45,0,NA,X
